Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1pJXxq9kK8SxRN0njeJ7Os,"Dynamite","HIT SONGS ENGLISH VOL 10","Taio Cruz",2023-04-07,203053,0,false,adriankito200,2023-04-17T00:16:35Z,"","UME - Global Clearing House",0.76,0.795,4,-3.186,1,0.0912,0.00769,0,0.0332,0.834,119.987,4
spotify:track:7A9r5ZkRVuBPzjzY2CGYfS,"Even Flow","rearviewmirror (greatest hits 1991-2003)","Pearl Jam",2004-11-16,303666,47,true,adriankito200,2023-04-19T04:41:04Z,"grunge,rock,post-grunge","Epic",0.373,0.844,7,-4.332,1,0.0327,0.000109,0.000077,0.124,0.377,104.899,4
spotify:track:79Sfz8AQQjmoEj4fE74A8z,"Static on the Radio","Drill a Hole In That Substrate and Tell Me What You See","Jim White,Aimee Mann",2004,391293,0,false,adriankito200,2023-04-22T04:54:04Z,"alt country,southern gothic,americana","Luaka Bop",0.499,0.475,7,-8.737,0,0.033,0.369,0.000679,0.0949,0.476,121.245,4
spotify:track:7GAaTpSoTWUTbP2Yxlt4Hd,"Need You Now","Need You Now","Lady A",2010-01-01,236440,77,false,adriankito200,2023-04-23T20:47:24Z,"country,pop country","Capitol Nashville",0.581,0.717,4,-4.433,1,0.0318,0.0298,0.000185,0.243,0.316,107.884,4
spotify:track:1AWQoqb9bSvzTjaLralEkT,"Rock Your Body","Justified","Justin Timberlake",2002-11-04,267266,85,false,adriankito200,2023-04-23T20:50:10Z,"","Jive",0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,4
spotify:track:3UygY7qW2cvG9Llkay6i1i,"Going Under","Fallen","Evanescence",2003-03-04,214946,81,false,adriankito200,2023-04-29T22:09:54Z,"alternative metal","The Bicycle Music Company",0.37,0.858,11,-4.885,0,0.0545,0.00815,0.0000212,0.229,0.464,175.077,4
spotify:track:7x8dCjCr0x6x2lXKujYD34,"The Pretender","Echoes Silence Patience & Grace","Foo Fighters",2007-09-25,269373,81,false,adriankito200,2023-04-29T22:12:37Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,4
spotify:track:0S5EEpFAHcT7cm5XOASc29,"Love Never Felt So Good","XSCAPE","Michael Jackson",2014-05-09,235400,64,false,adriankito200,2023-04-29T22:59:10Z,"","Epic/MJJ",0.634,0.87,5,-5.277,1,0.0362,0.083,0,0.18,0.514,116.967,4
spotify:track:3Fzlg5r1IjhLk2qRw667od,"Dancing in the Moonlight","Onka's Big Moka","Toploader",2000,232693,82,false,adriankito200,2023-05-08T03:20:21Z,"","Sony Soho Square",0.632,0.856,10,-3.463,1,0.0348,0.0624,0,0.347,0.867,119.397,4
spotify:track:0yac0FPhLRH9i9lOng3f81,"Everybody's Changing","Hopes And Fears","Keane",2004-05-10,215880,79,false,adriankito200,2023-05-11T14:29:08Z,"","Universal-Island Records Ltd.",0.517,0.839,0,-3.521,1,0.0287,0.0014,0.000365,0.108,0.416,94.015,4
spotify:track:40gk32E7YaTFoQwDIWv2SY,"Christmas Kids","I Can't Handle Change","Roar",2010-03-14,135693,5,true,adriankito200,2023-05-16T03:17:38Z,"","Felt Forest Records",0.425,0.754,2,-6.028,1,0.0367,0.0104,0.112,0.438,0.558,152.092,4
spotify:track:3JvKfv6T31zO0ini8iNItO,"Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,89,true,adriankito200,2023-06-18T15:44:05Z,"","ITNO/Columbia",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
spotify:track:7rbECVPkY5UODxoOUVKZnA,"I Wonder","Graduation","Kanye West",2007-09-11,243440,85,true,adriankito200,2023-07-07T00:57:28Z,"rap","Roc-A-Fella",0.542,0.466,0,-8.668,1,0.0824,0.141,0.000444,0.125,0.127,191.386,4
spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Flashing Lights","Graduation","Kanye West,Dwele",2007-09-11,237506,87,true,adriankito200,2023-07-07T00:57:42Z,"rap,neo soul","Roc-A-Fella",0.639,0.628,6,-7.578,0,0.0398,0.0381,0,0.386,0.43,90.482,4
spotify:track:5EhzE6HJaCcLFrf5rPqvpk,"Mientes","Dejarte De Amar","Camila",2010-02-09,205160,79,false,adriankito200,2023-08-11T00:32:38Z,"latin pop","Columbia",0.332,0.592,1,-6.127,1,0.0371,0.0824,0,0.109,0.31,170.391,3
spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,"Safe And Sound","In A Tidal Wave Of Mystery (Deluxe Edition)","Capital Cities",2013,192789,19,false,adriankito200,2023-09-19T23:13:03Z,"","Capital Cities",0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5
spotify:track:3eRLKD1Lgc2OrYGxRxX62s,"Untitled (How Could This Happen to Me?)","Still Not Getting Any...","Simple Plan",2004-10-25,239813,51,false,adriankito200,2023-10-17T18:08:26Z,"pop punk,punk,emo","Atlantic Records",0.208,0.342,6,-8.702,1,0.0327,0.875,0.000003,0.0908,0.135,186.162,4
spotify:track:3ZffCQKLFLUvYM59XKLbVm,"Wake Me up When September Ends","American Idiot","Green Day",2004-09-21,285653,81,false,adriankito200,2023-10-17T18:08:42Z,"punk,pop punk","Reprise",0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,4
spotify:track:1oTo3ijRbaDAtrjJrGAPSw,"I Miss You","blink-182","blink-182",2003-01-01,227240,80,false,adriankito200,2023-10-17T18:09:28Z,"pop punk,punk,rock,skate punk,emo","Geffen*",0.655,0.781,11,-6.547,1,0.034,0.00103,0.00000533,0.0867,0.584,110.024,4
