Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:41Fflg7qHiVOD6dEPvsCzO,"Worth It (feat. Kid Ink)","Reflection (Deluxe)","Fifth Harmony,Kid Ink",2015-01-30,224573,81,false,204029,2019-10-04T22:25:00Z,"","Syco Music/Epic",0.884,0.765,8,-3.865,1,0.0882,0.063,0.00000704,0.118,0.594,99.987,4
spotify:track:0r4SsYcwvd8URat6AS2m6f,"Lush Life","Lush Life","Zara Larsson",2015-06-09,201122,5,false,204029,2019-10-04T22:25:10Z,"","Epic/Record Company TEN",0.694,0.712,7,-3.923,0,0.046,0.133,0,0.211,0.799,98.022,4
spotify:track:1B75hgRqe7A4fwee3g3Wmu,"U Can't Touch This","Please Hammer Don't Hurt 'Em","MC Hammer",1990-02-20,257359,76,false,204029,2019-10-04T22:43:42Z,"","EMI/EMI Records (USA)",0.867,0.517,11,-13.22,0,0.088,0.00449,0.000343,0.0864,0.862,133.149,4
spotify:track:3APayTEWiUl9Ssep4BOXR2,"Torn","Glorious: The Singles 97-07","Natalie Imbruglia",2007-09-05,244813,67,false,204029,2019-10-04T22:44:10Z,"","Brightside Recordings",0.558,0.928,5,-3.04,1,0.0356,0.0746,0.0000544,0.696,0.6,96.313,4
spotify:track:37Q5anxoGWYdRsyeXkkNoI,"Heaven Is A Place On Earth","Greatest Vol.1 - Belinda Carlisle","Belinda Carlisle",1987,246520,74,false,204029,2019-10-04T22:45:07Z,"","Crimson",0.64,0.852,1,-8.119,0,0.0345,0.0243,0.00000182,0.0497,0.793,122.902,4
spotify:track:22sLuJYcvZOSoLLRYev1s5,"Material Girl","Celebration (double disc version)","Madonna",2009-09-18,240280,74,false,204029,2019-10-04T22:45:20Z,"","Warner Records",0.742,0.883,0,-3.419,1,0.0329,0.335,0.00000751,0.0964,0.978,136.506,4
spotify:track:7aHRctaQ7vjxVTVmY8OhAA,"We Built This City","Knee Deep In The Hoopla","Starship",1985,296080,5,false,204029,2019-10-04T22:46:19Z,"","RCA Records Label",0.661,0.908,5,-4.897,1,0.039,0.052,0,0.0708,0.656,144.091,4
spotify:track:4KoecuyOpZaNFZ0UqVsllc,"Follow Me","Double Wide","Uncle Kracker",2000-06-13,218439,76,true,204029,2019-10-05T03:40:24Z,"","Lava/Atlantic",0.817,0.585,5,-4.688,1,0.0301,0.439,0,0.147,0.916,105.014,4
spotify:track:2Zg0aB5oVQlbQE1vzQmIIY,"Hurt Somebody","Busyhead","Noah Kahan,Julia Michaels",2019-06-14,167106,73,false,204029,2019-10-07T01:59:36Z,"","Republic Records",0.638,0.51,1,-6.485,1,0.305,0.344,0,0.212,0.448,114.576,4
spotify:track:2wrJq5XKLnmhRXHIAf9xBa,"10000 Hours (with Justin Bieber)","10000 Hours (with Justin Bieber)","Dan + Shay,Justin Bieber",2019-10-04,167693,75,false,204029,2019-10-07T21:45:57Z,"country","Warner Music Nashville",0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,4
